12        全球变化与海气相互作用21          xx所        某洋南部  GASI-02-IND-STSsum            海测330120160721135901-0800  102   路人甲                   GPS探空仪 CF-06-A
22STC083  120160721140216 073048.56S 1043058.67E  6  627.701-9-9.99 23.892  941.682  70.401  10.462 327.601 
22STC083  120160721140217 073048.89S 1043058.86E  6  631.601-9-9.99 23.892  941.272  70.401  10.472 327.601 
22STC083  120160721140218 073049.18S 1043059.08E  6  635.401-9-9.99 23.882  940.862  70.401  10.482 327.601 
22STC083  120160721140219 073049.50S 1043059.30E  6  639.101-9-9.99 23.872  940.472  70.401  10.502 327.601 
22STC083  120160721140220 073049.82S 1043059.55E  6  642.801-9-9.99 23.852  940.072  70.401  10.522 327.601 
22STC083  120160721140221 073050.15S 1043059.71E  6  646.501-9-9.99 23.842  939.672  70.301  10.542 327.701 
22STC083  120160721140222 073050.47S 1043059.93E  6  650.301-9-9.99 23.832  939.262  70.201  10.562 327.701 
22STC083  120160721140223 073050.76S 1043100.15E  6  654.201-9-9.99 23.832  938.852  70.001  10.582 327.701 
22STC083  120160721140224 073051.05S 1043100.34E  6  658.201-9-9.99 23.832  938.432  69.701  10.602 327.701 
22STC083  120160721140225 073051.34S 1043100.56E  6  662.301-9-9.99 23.842  937.992  69.301  10.622 327.701 
22STC083  120160721140226 073051.62S 1043100.73E  6  666.501-9-9.99 23.852  937.542  68.901  10.632 327.601 
22STC083  120160721140227 073051.91S 1043100.95E  6  670.701-9-9.99 23.862  937.102  68.601  10.652 327.601 
22STC083  120160721140228 073052.24S 1043101.14E  6  674.701-9-9.99 23.862  936.662  68.301  10.672 327.601 
22STC083  120160721140229 073052.52S 1043101.28E  6  678.601-9-9.99 23.872  936.242  68.001  10.682 327.601 
22STC083  120160721140230 073052.81S 1043101.44E  6  682.501-9-9.99 23.872  935.832  67.501  10.692 327.501 
22STC083  120160721140231 073053.10S 1043101.63E  6  686.401-9-9.99 23.882  935.422  66.901  10.702 327.501 
22STC083  120160721140232 073053.42S 1043101.85E  6  690.401-9-9.99 23.892  935.002  66.101  10.712 327.501 
22STC083  120160721140233 073053.75S 1043102.07E  6  694.401-9-9.99 23.912  934.572  65.201  10.722 327.401 
22STC083  120160721140234 073054.07S 1043102.29E  6  698.401-9-9.99 23.932  934.142  64.301  10.732 327.401 
22STC083  120160721140235 073054.36S 1043102.48E  6  702.501-9-9.99 23.952  933.712  63.501  10.742 327.301 
22STC083  120160721140236 073054.68S 1043102.76E  6  706.401-9-9.99 23.972  933.292  62.901  10.752 327.301 
22STC083  120160721140237 073054.97S 1043102.95E  6  710.301-9-9.99 23.982  932.882  62.501  10.762 327.301 
22STC083  120160721140238 073055.30S 1043103.14E  6  714.001-9-9.99 23.982  932.492  62.301  10.772 327.201 
